City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Port Elizabeth,ZA,69.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
111,Kasongo,CD,67.06,overcast clouds,-4.45,26.6667,Guest Hôtel
131,Progreso,MX,73.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
136,Fortuna,US,56.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
143,Blackwater,AU,67.98,clear sky,-23.5833,148.8833,Blackwater Motor Inn
150,Pisco,PE,68.05,mist,-13.7,-76.2167,Hotel San Isidro Oficial
158,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
163,Mutoko,ZW,64.33,light rain,-17.397,32.2268,Mutoko Hotel
165,Lompoc,US,70.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
181,Guerrero Negro,MX,66.36,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
185,Patzun,GT,66.9,broken clouds,14.6833,-91.0167,Hotel Premier Don Asunción
193,Bambanglipuro,ID,62.6,overcast clouds,-7.95,110.2833,Puri Brata
196,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
205,San Rafael,AR,59.94,light rain,-34.6177,-68.3301,Hotel San Rafael
207,Mar Del Plata,AR,64.09,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
208,Kiama,AU,68.58,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
214,Burhanpur,IN,65.23,clear sky,21.3,76.2333,OYO 62728 Vastushilp Guest House
215,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
217,Constitucion,CL,71.51,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
218,Isiro,CD,71.78,overcast clouds,2.7739,27.616,Guest House Hewa Bora
224,Isla Vista,US,72.28,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
228,Nerang,AU,68.49,overcast clouds,-27.9833,153.3333,RACV Royal Pines Resort Gold Coast
229,Ribeira Grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
230,Ishigaki,JP,64.09,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
246,Chicama,PE,66.74,few clouds,-7.8447,-79.1469,Balihai Bungalows
248,Ponta Do Sol,PT,68.13,clear sky,32.6667,-17.1,Hotel do Campo
250,Pampierstad,ZA,73.02,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
251,Rawson,AR,63.0,clear sky,-43.3002,-65.1023,Hosteria Sampedro
257,Port Lincoln,AU,66.94,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
260,Hurghada,EG,56.89,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
263,Vila Franca Do Campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
265,Santa Cruz,BO,71.65,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
271,Kiunga,PG,72.28,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
273,Kariba,ZW,71.85,light rain,-16.5167,28.8,Caribbea Bay Hotel
279,Coquimbo,CL,69.53,few clouds,-29.9533,-71.3436,Hostel Del Puerto
280,Alcudia,ES,56.19,overcast clouds,39.8532,3.1214,Zafiro Tropic
282,Mount Gambier,AU,57.31,broken clouds,-37.8333,140.7667,The Commodore
289,Lebu,CL,64.22,clear sky,-37.6167,-73.65,Hostal Las Lilas
297,Port Alfred,ZA,70.34,light rain,-33.5906,26.891,The Halyards Hotel
301,Aswan,EG,55.17,clear sky,24.0934,32.907,Nuba Nile
302,Coihaique,CL,70.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
